date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:36	31957/31957	---M-Z	200	added ('OK')	text/html	etag:W/%22953263b9a6d0f7e28a80cc8554438f13--gzip%22	https://rome.ro/rwf-shut-down	/home/template/website-blog/rome.ro/rwf-shut-down.html	(from https://rome.ro/ravenwoodfair)
15:44:37	45993/45993	---M-Z	200	added ('OK')	text/html	etag:W/%22fa6796832950b85f84f86a28c1c53fcc--gzip%22	https://rome.ro/ravenwoodgallery	/home/template/website-blog/rome.ro/ravenwoodgallery.html	(from https://rome.ro/ravenwoodfair)
15:44:38	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2001%20Jan%202021%2018:44:37%20UTC	https://rome.ro/%22https://player.vimeo.com/video/198598363?wmode=opaque&amp;api=1\%22	/home/template/website-blog/rome.ro/_https_/player.vimeo.com/video/198598363.45f0ec.delayed	(from https://rome.ro/subnodule)
15:44:39	29074/29074	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22524ff3c395632dac88be4b64ea640b1c%22	https://rome.ro/%22https://player.vimeo.com/video/198598363?wmode=opaque&api=1%22	/home/template/website-blog/rome.ro/_https_/player.vimeo.com/video/198598363.46fbba.delayed	(from https://rome.ro/subnodule)
15:44:40	32162/32162	---M-Z	200	added ('OK')	text/html	etag:W/%22eff9a07de2b5f3dc3cfd4f7233229977%22	https://rome.ro/emulationzone	/home/template/website-blog/rome.ro/emulationzone.html	(from https://rome.ro/subnodule)
15:44:41	0/0	---M--	302	error ('Found')	text/html	etag:W/%22749aa5140531879928ab9747a5f2069c%22	https://rome.ro/s/subnodule.dsk	/home/template/website-blog/rome.ro/s/subnodule.48.delayed	(from https://rome.ro/subnodule)
15:44:41	0/0	---M--	302	error ('Found')	text/html	etag:W/%22225903f25b8f157e967c01debc4c09e8%22	https://rome.ro/s/alien-attack-I.zip	/home/template/website-blog/rome.ro/s/alien-attack-I.49.delayed	(from https://rome.ro/subnodule)
15:44:43	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2001%20Jan%202021%2018:44:42%20UTC	https://rome.ro/%22https://player.vimeo.com/video/197290163?wmode=opaque&amp;api=1\%22	/home/template/website-blog/rome.ro/_https_/player.vimeo.com/video/197290163.4af0ec.delayed	(from https://rome.ro/bongosbash)
15:44:43	29074/29074	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22524ff3c395632dac88be4b64ea640b1c%22	https://rome.ro/%22https://player.vimeo.com/video/197290163?wmode=opaque&api=1%22	/home/template/website-blog/rome.ro/_https_/player.vimeo.com/video/197290163.4bfbba.delayed	(from https://rome.ro/bongosbash)
15:44:44	0/0	---M--	302	error ('Found')	text/html	etag:W/%2257469b3a002635fb61512b12155bff10%22	https://rome.ro/s/BONGOS-BASH-6502-ASM.txt	/home/template/website-blog/rome.ro/s/BONGOS-BASH-6502-ASM.4c.delayed	(from https://rome.ro/bongosbash)
15:44:45	0/0	---M--	302	error ('Found')	text/html	etag:W/%22f5a8eed115175c74f37e056c42d14c51%22	https://rome.ro/s/bongos_bash.zip	/home/template/website-blog/rome.ro/s/bongos_bash.4d.delayed	(from https://rome.ro/bongosbash)
15:44:46	0/-1	---M--	302	error ('')			https://rome.ro/s/bongos_bash.zip	/home/template/website-blog/rome.ro/s/bongos_bash.4e.delayed	(from https://rome.ro/bongosbash)
15:44:46	0/0	---M--	302	error ('Found')	text/html	etag:W/%223a946b797b34bee46d7c82cf085b72a3%22	https://rome.ro/s/dodge-em.zip	/home/template/website-blog/rome.ro/s/dodge-em.4f.delayed	(from https://rome.ro/dodge-em)
15:44:47	0/-1	---M--	302	error ('')			https://rome.ro/s/dodge-em.zip	/home/template/website-blog/rome.ro/s/dodge-em.50.delayed	(from https://rome.ro/dodge-em)
15:44:47	0/-1	---M--	302	error ('')			https://rome.ro/s/alien-attack-I.zip	/home/template/website-blog/rome.ro/s/alien-attack-I.51.delayed	(from https://rome.ro/alien-attack)
15:44:47	0/-1	---M--	302	error ('')			https://rome.ro/s/alien-attack-I.zip	/home/template/website-blog/rome.ro/s/alien-attack-I.52.delayed	(from https://rome.ro/alien-attack)
15:44:47	0/-1	---M--	302	error ('')			https://rome.ro/s/alien-attack-I.zip	/home/template/website-blog/rome.ro/s/alien-attack-I.53.delayed	(from https://rome.ro/dangerous-dave)
15:44:47	0/-1	---M--	302	error ('')			https://rome.ro/s/alien-attack-I.zip	/home/template/website-blog/rome.ro/s/alien-attack-I.54.delayed	(from https://rome.ro/dangerous-dave)
15:44:48	48148/48148	---M-Z	200	added ('OK')	text/html	etag:W/%22f5aa125f8ba5e2e9fa3a3ceff073e9e5%22	https://rome.ro/bios	/home/template/website-blog/rome.ro/bios.html	(from https://rome.ro/loot-drop)
15:44:49	41426/41426	---M-Z	200	added ('OK')	text/html	etag:W/%22640662879143e5542418692cbab72b1c--gzip%22	https://rome.ro/pettington-park	/home/template/website-blog/rome.ro/pettington-park.html	(from https://rome.ro/loot-drop)
15:44:50	47373/47373	---M-Z	200	added ('OK')	text/html	etag:W/%221b3269d02c01c046f74d4e4df39150d0--gzip%22	https://rome.ro/ghost-recon-commander	/home/template/website-blog/rome.ro/ghost-recon-commander.html	(from https://rome.ro/loot-drop)
15:44:51	44741/44741	---M-Z	200	added ('OK')	text/html	etag:W/%222df59e81d8e0eeceb6839e35d9312943%22	https://rome.ro/charmcraft-hollow	/home/template/website-blog/rome.ro/charmcraft-hollow.html	(from https://rome.ro/loot-drop)
15:44:52	87665/87665	---M-Z	200	added ('OK')	text/html	etag:W/%22a2042fdb5b1e0c432474ffc4a41bde52--gzip%22	https://rome.ro/cloudforest-expedition	/home/template/website-blog/rome.ro/cloudforest-expedition.html	(from https://rome.ro/loot-drop)
15:44:53	57010/57010	---MCZ	200	added ('OK')	text/html	etag:W/%22a8d3293fd0a85c419af94fbf869c04e6--gzip%22	https://rome.ro/news/2015/12/13/gametales-the-id-logo	/home/template/website-blog/rome.ro/news/2015/12/13/gametales-the-id-logo.html	(from https://rome.ro/news?tag=id%20logo)
15:44:54	54911/54911	---MCZ	200	added ('OK')	text/html	etag:W/%225e95e5e4fc0ad07120fcdb2e7fcf06ff--gzip%22	https://rome.ro/news/tag/id+logo	/home/template/website-blog/rome.ro/news/tag/id+logo.html	(from https://rome.ro/news?tag=id%20logo)
15:44:55	54404/54404	---M-Z	200	added ('OK')	text/html	etag:W/%22d557627c28cdabf800328625f27afe96--gzip%22	https://rome.ro/news/2015/12/13/gametales-id-answering-machine	/home/template/website-blog/rome.ro/news/2015/12/13/gametales-id-answering-machine.html	(from https://rome.ro/news?tag=id%20answering%20machine)
